day,Cumulative_None,Cumulative_Infected,Cumulative_Quarantined,Cumulative_Recovered
165,0,0,0,250
166,0,0,0,250
167,0,0,0,250
168,0,0,0,250
169,0,0,0,250
170,0,0,0,250
171,0,0,0,250
172,0,0,0,250
173,0,0,0,250
174,0,0,0,250
175,0,0,0,250
176,0,0,0,250
177,0,0,0,250
178,0,0,0,250
179,0,0,0,250
180,0,0,0,250
181,0,0,0,250
182,0,0,0,250
183,0,0,0,250
184,0,0,0,250
185,0,0,0,250
186,0,0,0,250
187,0,0,0,250
188,0,0,0,250
189,0,0,0,250
190,0,0,0,250
191,0,0,0,250
192,0,0,0,250
193,0,0,0,250
194,0,0,0,250
195,0,0,0,250
196,0,0,0,250
197,0,0,0,250
198,0,0,0,250
199,0,0,0,250
200,0,0,0,250
201,0,0,0,250
202,0,0,0,250
203,0,0,0,250
204,0,0,0,250
205,0,0,0,250
206,0,0,0,250
207,0,0,0,250
208,0,0,0,250
209,0,0,0,250
210,0,0,0,250
211,0,0,0,250
212,0,0,0,250
213,0,0,0,250
214,0,0,0,250
215,0,0,0,250
216,0,0,0,250
217,0,0,0,250
218,0,0,0,250
219,0,0,0,250
220,0,0,0,250
221,0,0,0,250
222,0,0,0,250
223,0,0,0,250
224,0,0,0,250
225,0,0,0,250
226,0,0,0,250
227,0,0,0,250
228,0,0,0,250
229,0,0,0,250
230,0,0,0,250
231,0,0,0,250
232,0,0,0,250
233,0,0,0,250
234,0,0,0,250
235,0,0,0,250
236,0,0,0,250
237,0,0,0,250
238,0,0,0,250
239,0,0,0,250
240,0,0,0,250
241,0,0,0,250
242,0,0,0,250
243,0,0,0,250
244,0,0,0,250
245,0,0,0,250
246,0,0,0,250
247,0,0,0,250
248,0,0,0,250
249,0,0,0,250
250,0,0,0,250
251,0,0,0,250
252,0,0,0,250
253,0,0,0,250
254,0,0,0,250
255,0,0,0,250
256,0,0,0,250
257,0,0,0,250
258,0,0,0,250
259,0,0,0,250
260,0,0,0,250
261,0,0,0,250
262,0,0,0,250
263,0,0,0,250
264,0,0,0,250
265,0,0,0,250
266,0,0,0,250
267,0,0,0,250
268,0,0,0,250
269,0,0,0,250
270,0,0,0,250
271,0,0,0,250
272,0,0,0,250
273,0,0,0,250
274,0,0,0,250
275,0,0,0,250
276,0,0,0,250
277,0,0,0,250
278,0,0,0,250
279,0,0,0,250
280,0,0,0,250
281,0,0,0,250
282,0,0,0,250
283,0,0,0,250
284,0,0,0,250
285,0,0,0,250
286,0,0,0,250
287,0,0,0,250
288,0,0,0,250
289,0,0,0,250
290,0,0,0,250
291,0,0,0,250
292,0,0,0,250
293,0,0,0,250
294,0,0,0,250
295,0,0,0,250
296,0,0,0,250
297,0,0,0,250
298,0,0,0,250
299,0,0,0,250
300,0,0,0,250
301,0,0,0,250
302,0,0,0,250
303,0,0,0,250
304,0,0,0,250
305,0,0,0,250
306,0,0,0,250
307,0,0,0,250
308,0,0,0,250
309,0,0,0,250
310,0,0,0,250
311,0,0,0,250
312,0,0,0,250
313,0,0,0,250
314,0,0,0,250
315,0,0,0,250
316,0,0,0,250
317,0,0,0,250
318,0,0,0,250
319,0,0,0,250
320,0,0,0,250
321,0,0,0,250
322,0,0,0,250
323,0,0,0,250
324,0,0,0,250
325,0,0,0,250
326,0,0,0,250
327,0,0,0,250
328,0,0,0,250
329,0,0,0,250
330,0,0,0,250
331,0,0,0,250
332,0,0,0,250
333,0,0,0,250
334,0,0,0,250
335,0,0,0,250
336,0,0,0,250
337,0,0,0,250
338,0,0,0,250
339,0,0,0,250
340,0,0,0,250
341,0,0,0,250
342,0,0,0,250
343,0,0,0,250
344,0,0,0,250
345,0,0,0,250
346,0,0,0,250
347,0,0,0,250
348,0,0,0,250
349,0,0,0,250
350,0,0,0,250
351,0,0,0,250
352,0,0,0,250
353,0,0,0,250
354,0,0,0,250
355,0,0,0,250
356,0,0,0,250
357,0,0,0,250
358,0,0,0,250
359,0,0,0,250
360,0,0,0,250
361,0,0,0,250
362,0,0,0,250
363,0,0,0,250
364,0,0,0,250
365,0,0,0,250
